cheB
cheA
cheY
flgJ
cheR
fliD
motA
flgL
flgI
fliO
flhC
flhE
flgA
fliS
flgG
flgE
flhA
fliR
flgB
tap
cheZ
fliH
fliQ
motB
fliI
cheW
flgH
fliN
flhB
flxA
fliE
fliG
flgD
flgC
fliL
fliJ
fliF
flgF
fliP
fliM
fliT
tsr
fliZ
flhD
fliA
fliK
