Regulator	Target	MI	pvalue
'rhaS'	'rhaR'	0.8322942389312628	9.363861686247921E-4
'yoaD'	'cheZ'	0.8425316208112065	9.363861686247921E-4
'abgT'	'citC'	0.6150761842007318	9.363861686247921E-4
'yliI'	'ydcK'	0.8240701444866749	9.363861686247921E-4
'manA'	'tehB'	0.8184110114401635	1.1174648288925226E-6
'atpA'	'atpG'	1.3331978838054406	1.1174648288925226E-6
'atpA'	'atpH'	1.2710431224262464	1.1174648288925226E-6
'dinJ'	'rpoE'	0.4327916036889488	9.363861686247921E-4
'hemG'	'trkH'	1.060110838026691	1.1174648288925226E-6
'yehP'	'wcaI'	1.0577866540540297	1.1174648288925226E-6
'ydfX'	'pinE'	0.8250354328325121	9.363861686247921E-4
'rpmC'	'rpsO'	0.8018895833486432	9.363861686247921E-4
'ribD'	'nrdR'	0.9275198465035679	1.1174648288925226E-6
'yjgB'	'phnO'	0.5995143857434837	1.1174648288925226E-6
'cynT'	'ykfC'	0.5733838083727667	1.1174648288925226E-6
'pyrD'	'pyrF'	0.990219799537708	1.1174648288925226E-6
'ydfB'	'dicB'	0.38110897914324254	9.363861686247921E-4
'yghE'	'yecA'	0.7190155183829114	1.1174648288925226E-6
'ymfS'	'stfE'	0.5323958531902827	9.363861686247921E-4
'dnaX'	'recR'	0.6869089970228992	1.1174648288925226E-6
'hisB'	'hisH'	1.272142326678541	1.1174648288925226E-6
'ccmA'	'ynaJ'	0.6913125299199784	9.363861686247921E-4
'adrA'	'ybeQ'	0.6699922085518016	9.363861686247921E-4
'yjhI'	'idnD'	0.5927835917568285	1.1174648288925226E-6
'ftsK'	'rarA'	0.674192169919697	9.363861686247921E-4
'potF'	'potG'	1.0898072469758913	1.1174648288925226E-6
'mglB'	'sdhA'	0.6317895371464232	9.363861686247921E-4
'manA'	'ydfG'	0.7961410058258394	1.1174648288925226E-6
'hisB'	'hisC'	1.221929246329917	1.1174648288925226E-6
'nikD'	'nikE'	0.7284337697413941	9.363861686247921E-4
'hypA'	'dmsA'	0.7646196026263206	1.1174648288925226E-6
'dmsB'	'dcuC'	0.6365479991844363	1.1174648288925226E-6
'wzc'	'wcaA'	0.9263183999266782	1.1174648288925226E-6
'ykfJ'	'yagM'	0.4623377797002964	9.363861686247921E-4
'yffM'	'yjfC'	0.476058161218807	9.363861686247921E-4
'nikD'	'nikC'	0.7628037122578526	9.363861686247921E-4
'ybcO'	'fryA'	0.6948096925057289	9.363861686247921E-4
'ydiB'	'abgB'	0.9053223324285625	9.363861686247921E-4
'yihF'	'yiiG'	0.9579794453668482	9.363861686247921E-4
'yhjE'	'livF'	0.7780237411792447	9.363861686247921E-4
'yjfY'	'ryjA'	0.5711975883179946	9.363861686247921E-4
'bcsC'	'potA'	0.765968195412535	9.363861686247921E-4
'pptA'	'yceF'	0.8092974691389583	1.1174648288925226E-6
'ycjU'	'rutE'	0.8481496720693397	9.363861686247921E-4
'mcrB'	'sroF'	0.7325466609432866	9.363861686247921E-4
'ybfO'	'yegZ'	0.6188900847654082	1.1174648288925226E-6
'yiaC'	'fdhD'	0.5950212272346315	9.363861686247921E-4
'galS'	'mglC'	0.6765483173335025	1.1174648288925226E-6
'ycaQ'	'ymbA'	0.7096686609748094	9.363861686247921E-4
'bfr'	'yahO'	0.8771402102370365	9.363861686247921E-4
'yfeX'	'napA'	0.665071162566463	9.363861686247921E-4
'yafY'	'yoeB'	0.47559542980670627	9.363861686247921E-4
'speA'	'yqgB'	0.8308605458852936	1.1174648288925226E-6
'tar'	'agaR'	0.7322023406480683	9.363861686247921E-4
'cbrB'	'cbrC'	0.5750226517010265	9.363861686247921E-4
'ampE'	'yafM'	0.4490232285256237	9.363861686247921E-4
'wcaK'	'yeeT'	0.9252169726520656	1.1174648288925226E-6
'yqhG'	'rtcB'	0.6256362330910614	1.1174648288925226E-6
'mglA'	'mglB'	1.0448454180395013	1.1174648288925226E-6
'ytjB'	'holC'	0.6914032954410925	1.1174648288925226E-6
'yeaH'	'ynhG'	0.9313163660705268	1.1174648288925226E-6
'wbbJ'	'racR'	0.5696525567597742	9.363861686247921E-4
'idnR'	'idnT'	0.576208780756436	1.1174648288925226E-6
'ilvI'	'leuC'	0.8249644522827365	9.363861686247921E-4
'yqjC'	'yqjD'	1.1590301834794763	1.1174648288925226E-6
'lspA'	'fkpB'	0.9414523003364133	1.1174648288925226E-6
'mglA'	'mglC'	0.9532479278886288	1.1174648288925226E-6
'xylE'	'gldA'	0.5305991375634518	9.363861686247921E-4
'ybhC'	'yajC'	0.6147224209878411	9.363861686247921E-4
'tig'	'hpt'	0.8055882417182989	1.1174648288925226E-6
'hisB'	'hisA'	1.2103991488565582	9.363861686247921E-4
'kdsA'	'ycdY'	0.8479061340210352	9.363861686247921E-4
'tldD'	'rimN'	0.6957126715238596	9.363861686247921E-4
'sbcB'	'ldcA'	0.6720977951835057	1.1174648288925226E-6
'elaD'	'emrK'	0.6113204334287703	9.363861686247921E-4
'yhbC'	'nusA'	1.1714878320344897	1.1174648288925226E-6
'yfbU'	'yfbT'	0.8038953760377576	1.1174648288925226E-6
'tolB'	'pal'	0.9857231340870213	9.363861686247921E-4
'yhjB'	'yhiJ'	0.5948352190071301	9.363861686247921E-4
'moeB'	'moeA'	0.6104354088492927	1.1174648288925226E-6
'adiC'	'adiY'	0.6170760966013592	9.363861686247921E-4
'nrfA'	'nrfC'	0.687732337754581	1.1174648288925226E-6
'ycgM'	'ycgN'	0.8969490552738725	9.363861686247921E-4
'recF'	'dnaA'	0.9958027454566025	9.363861686247921E-4
'yfcR'	'yfcQ'	0.7302076226987086	1.1174648288925226E-6
'yfjH'	'yfjW'	0.35051286760202327	1.1174648288925226E-6
'yqeF'	'dctA'	0.5222902349563062	9.363861686247921E-4
'lepB'	'lepA'	0.6560030219332322	1.1174648288925226E-6
'pppA'	'yghG'	0.9799516098756871	1.1174648288925226E-6
'gph'	'rpe'	0.968222241466937	1.1174648288925226E-6
'tam'	'btuD'	0.8302524032775125	9.363861686247921E-4
'nanC'	'yjhS'	0.5288460953968729	9.363861686247921E-4
'mdtO'	'yjfC'	0.6118339979251914	1.1174648288925226E-6
'fryA'	'ybcO'	0.6756767414786543	9.363861686247921E-4
'rpmI'	'rplT'	0.9752473495255052	1.1174648288925226E-6
'kbaZ'	'gudP'	0.5236287425455122	1.1174648288925226E-6
'ygjG'	'yjdN'	0.7035265880610435	1.1174648288925226E-6
'gadC'	'gadB'	1.0851485386028936	1.1174648288925226E-6
'abgB'	'lsrD'	0.9097367473144823	9.363861686247921E-4
'csiR'	'gabP'	0.6217245403949857	9.363861686247921E-4
'dedA'	'srmB'	0.5948804261656736	9.363861686247921E-4
'glmU'	'pldB'	0.811373577333209	9.363861686247921E-4
'rpmA'	'yjgF'	0.6503318689998151	9.363861686247921E-4
'nagZ'	'thiK'	0.6853866450493975	1.1174648288925226E-6
'yijF'	'gspF'	0.7686073515544287	1.1174648288925226E-6
'minC'	'pmrD'	0.5934939523932808	9.363861686247921E-4
'grxC'	'yibN'	0.7704934279864112	9.363861686247921E-4
'yccJ'	'hchA'	0.7818611417679835	1.1174648288925226E-6
'trpE'	'thiD'	1.0702820743477812	9.363861686247921E-4
'citX'	'lfhA'	0.8466880211662637	1.1174648288925226E-6
'pinE'	'yfdM'	0.7711351517998819	1.1174648288925226E-6
'ycfD'	'pgpB'	0.6294653828832958	9.363861686247921E-4
'fimZ'	'sfmF'	0.5290166231375742	9.363861686247921E-4
'yedD'	'yecM'	0.7446746310083441	1.1174648288925226E-6
'exbB'	'exbD'	1.446740342164577	1.1174648288925226E-6
'frlD'	'frlC'	0.6259518399389341	1.1174648288925226E-6
'flhA'	'flhE'	1.435875190328586	1.1174648288925226E-6
'rpoC'	'rpoB'	0.8577823085123601	1.1174648288925226E-6
'yjdI'	'yjdJ'	1.2853950573619606	1.1174648288925226E-6
'ybhF'	'ybhG'	0.6862808490292727	1.1174648288925226E-6
'htpG'	'grpE'	0.6161466967355022	9.363861686247921E-4
'ydhU'	'ydiQ'	0.9490501231357396	9.363861686247921E-4
'ycjP'	'ycjN'	0.9228547289125031	1.1174648288925226E-6
'lsrD'	'ydcU'	0.8378403003400882	9.363861686247921E-4
'ttdT'	'agaC'	0.6226787331333776	9.363861686247921E-4
'yghZ'	'ygjR'	0.5576025281881039	1.1174648288925226E-6
'hisL'	'ilvL'	0.7930331180184544	1.1174648288925226E-6
'yggP'	'yphE'	0.5447393909276848	9.363861686247921E-4
'mglB'	'maeB'	0.5929173995197496	9.363861686247921E-4
'yiaT'	'sgbE'	0.7577311412505979	9.363861686247921E-4
'sodB'	'ftnA'	0.6656565195188893	1.1174648288925226E-6
'yggP'	'yphF'	0.542824376181366	1.1174648288925226E-6
'ycfL'	'hinT'	1.08259762905492	9.363861686247921E-4
'gspL'	'gspM'	0.8425201693402729	1.1174648288925226E-6
'thiH'	'thiC'	0.9482312800913524	1.1174648288925226E-6
'yjhQ'	'yjhP'	0.5296644710953766	1.1174648288925226E-6
'nuoJ'	'nuoL'	1.4532378134498678	9.363861686247921E-4
'glyQ'	'nrdB'	0.6657066284322348	1.1174648288925226E-6
'citT'	'ybcI'	0.6354602033898719	9.363861686247921E-4
'grxC'	'yiaF'	0.9968931578039046	1.1174648288925226E-6
'yjhQ'	'yjhX'	0.6417387123286376	1.1174648288925226E-6
